iter	Passed	Remaining
0	1	105
1	1	94
2	2	89
3	3	82
4	4	88
5	5	86
6	6	85
7	7	83
8	8	81
9	8	78
10	9	76
11	10	74
12	10	71
13	11	70
14	12	68
15	12	66
16	13	65
17	14	65
18	15	64
19	15	63
20	16	63
21	17	62
22	18	62
23	19	61
24	20	60
25	20	59
26	21	58
27	22	57
28	23	56
29	23	55
30	24	54
31	25	53
32	26	52
33	26	52
34	27	51
35	28	50
36	29	49
37	29	48
38	30	47
39	31	47
40	32	46
41	32	45
42	33	44
43	34	43
44	34	42
45	35	42
46	36	41
47	37	40
48	38	39
49	39	39
50	39	38
51	40	37
52	41	36
53	42	36
54	42	35
55	43	34
56	44	33
57	45	32
58	46	32
59	47	31
60	48	30
61	49	30
62	49	29
63	50	28
64	51	27
65	52	27
66	53	26
67	54	25
68	55	24
69	56	24
70	56	23
71	57	22
72	58	21
73	59	20
74	60	20
75	61	19
76	62	18
77	63	17
78	64	17
79	65	16
80	66	15
81	66	14
82	67	13
83	68	13
84	69	12
85	70	11
86	71	10
87	72	9
88	73	9
89	74	8
90	75	7
91	76	6
92	77	5
93	78	4
94	79	4
95	80	3
96	81	2
97	81	1
98	82	0
99	83	0
